x,y,impact_total,distance_to_nearest_blast,impact_B1,impact_B2
9.0,55.0,27.58036358880607,65.19202405202648,27.546764689983064,0.03359889882300473
10.0,30.0,25.30826297244197,67.05221845696084,25.297486404094,0.010776568347970797
10.0,31.0,25.65284275402289,66.76076692189807,25.64142465574824,0.011418098274650169
10.0,32.0,25.984136037463376,66.48308055437865,25.97204659402749,0.012089443435885822
10.0,34.0,26.60435781697634,65.96969000988257,26.59083307165773,0.013524745318610403
10.0,35.0,26.892088621224342,65.73431371817918,26.877798386811282,0.014290234413061282
10.0,36.0,27.164141401757714,65.5133574166368,27.149052805003507,0.015088596754205744
10.0,37.0,27.419980838622134,65.30696746902278,27.404060305987635,0.01592053263450058
10.0,38.0,27.65910026226034,65.11528238439882,27.642313552693196,0.01678670956714142
10.0,39.0,27.881023330382547,64.93843238021688,27.863335571801986,0.01768775858056137
10.0,40.0,28.085305614412366,64.77653896280658,28.066681343972654,0.01862427043971163
10.0,41.0,28.271536088103563,64.6297145282261,28.25193929629731,0.01959679180625468
10.0,42.0,28.43933851133807,64.4980619863884,28.418732689987312,0.020605821350759113
10.0,44.0,28.718335693893422,64.28063471995279,28.695600557742676,0.022735136150745634
10.0,45.0,28.828962763188414,64.19501538281614,28.805106619771934,0.023856143416480558
10.0,46.0,28.920028338479288,64.1248781675256,28.895013243473347,0.025015095005938917
10.0,47.0,28.991346770096182,64.07027391856539,28.96513457942759,0.026212190668591623
10.0,48.0,29.04277296696739,64.03124237432849,29.01532540829285,0.027447558674542485
10.0,49.0,29.07420289396108,64.00781202322104,29.045481641929946,0.028721252031132575
10.0,50.0,29.08557392787718,64.0,29.05554068309069,0.030033244786490457
10.0,54.0,28.930673973354573,64.1248781675256,28.895013243473347,0.03566072988122448
10.0,55.0,28.842267442957354,64.19501538281614,28.805106619771934,0.037160823185419585
10.0,56.0,28.734297768792175,64.28063471995279,28.695600557742676,0.038697211049497096
11.0,13.0,18.903855004491017,73.06161783043132,18.899846354547694,0.004008649943324101
11.0,30.0,26.44667864331137,66.09841147864296,26.434767868559202,0.011910774752168321
11.0,31.0,26.806788136547123,65.80273550544841,26.794168312475474,0.012619824071647828
11.0,32.0,27.15301561740085,65.52098900352466,27.139653790797578,0.013361826603273922
11.0,33.0,27.48470111552526,65.25335240430181,27.470563453192806,0.014137662332456113
11.0,34.0,27.80120681117969,65.0,27.786258620821787,0.014948190357902237
11.0,35.0,28.101919080872264,64.76109943476871,28.086124835640042,0.015794245232222486
11.0,36.0,28.38625048283126,64.53681120105021,28.369573849652436,0.016676633178824774
11.0,37.0,28.653641673317733,64.32728814430156,28.63604554512357,0.017596128194165554
11.0,38.0,28.903563245029392,64.13267497929586,28.885009776983885,0.01855346804550627
11.0,39.0,29.135517479133586,63.953107821277925,29.11596812895817,0.019549350175417295
11.0,40.0,29.34904000280604,63.788713735268246,29.32845557528068,0.020584427525358023
11.0,42.0,29.71910837991484,63.50590523722971,29.6963338482859,0.022774531628941674
11.0,44.0,30.010776623195884,63.28506932918696,29.985648671801005,0.025127951394879812
11.0,45.0,30.12644466336116,63.198101237299845,30.10007772153755,0.026366941823611885
11.0,46.0,30.22167408477734,63.12685640834652,30.19402621465773,0.02764787011961306
11.0,47.0,30.296270903694882,63.071388124885914,30.267299946639405,0.028970957055477843
11.0,48.0,30.350083514017435,63.0317380372777,30.319747169616022,0.030336344401412096
11.0,49.0,30.383003206774124,63.00793600809346,30.35125911603048,0.031744090743644905
11.0,50.0,30.3949645418927,63.0,30.361770374493766,0.033194167398936394
11.0,51.0,30.38594557047755,63.00793600809346,30.35125911603048,0.03468645444706992
11.0,53.0,30.305096647695294,63.071388124885914,30.267299946639405,0.037796701055887554
11.0,54.0,30.233440145641907,63.12685640834652,30.19402621465773,0.0394139309841766
11.0,55.0,30.14114962683011,63.198101237299845,30.10007772153755,0.04107190529256276
11.0,56.0,30.028418665871936,63.28506932918696,29.985648671801005,0.04276999407092965
12.0,31.0,27.993290441452405,64.8459713474939,27.979352068956306,0.013938372496097834
12.0,32.0,28.354877272919172,64.5600495662759,28.340119371749765,0.014757901169408599
12.0,33.0,28.701280926025134,64.28841264178172,28.68566612801408,0.015614798011054564
12.0,34.0,29.031835420173213,64.03124237432849,29.01532540829285,0.016510011880364866
12.0,35.0,29.34590003980662,63.788713735268246,29.32845557528068,0.017444464525937658
12.0,36.0,29.642861407475152,63.56099432828282,29.624442361067885,0.018419046407268436
12.0,37.0,29.92213548467732,63.34824385884742,29.902700872287564,0.019434612389754555
12.0,38.0,30.183169491340777,63.150613615387776,30.16267751401649,0.02049197732428831
12.0,39.0,30.425443735106246,62.96824596572466,30.403851823582393,0.02159191152385392
